Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
2,2,30,0,0,1,5,9000.0,46,31,7,1,0,6,72,2,3.79,0
7,2,35,1,4,1,1,6600.0,41,8,7,10,0,3,82,0,4.24,0
2,1,57,0,5,0,3,7800.0,39,37,23,6,50,19,16,1,3.61,0
0,1,55,0,4,2,5,9000.0,45,12,4,11,50,17,96,2,3.59,0
4,1,27,6,5,1,2,6600.0,47,32,11,7,75,14,96,2,4.58,0
1,2,29,1,0,0,3,7800.0,55,25,4,12,25,4,82,0,2.34,0
3,1,35,5,4,0,2,6000.0,52,43,5,10,25,18,31,2,3.82,0
5,2,43,3,1,1,3,4550.0,55,26,11,5,75,5,11,2,4.65,0
4,1,44,1,7,0,5,9000.0,46,31,23,13,0,19,90,2,1.35,0
7,1,48,4,1,1,5,6750.0,50,31,13,10,100,4,37,0,3.74,0
8,2,50,3,9,0,3,4550.0,35,25,15,6,100,11,19,2,3.31,0
1,1,50,2,2,0,5,6000.0,43,12,7,6,75,7,5,1,4.86,0
0,2,50,0,2,1,3,7800.0,50,34,0,1,25,19,80,0,1.39,0
1,1,50,1,4,0,5,9000.0,39,21,16,10,100,8,77,2,3.17,0
1,2,49,2,9,1,2,4800.0,37,42,8,0,0,5,26,1,2.76,0
6,1,57,4,0,1,1,4950.0,53,46,24,5,0,6,38,0,2.09,0
4,1,25,3,9,0,3,4550.0,58,48,21,13,0,11,80,2,2.29,0
5,1,48,0,0,0,4,8400.0,31,10,28,6,100,3,50,1,1.98,0
1,2,56,0,9,2,4,8400.0,56,24,6,10,0,15,47,1,4.07,1
2,1,51,2,0,1,4,5600.0,50,3,16,11,25,5,47,0,4.78,0
8,2,25,5,8,1,1,5500.0,37,1,24,12,50,7,15,0,2.5,0
4,2,24,3,4,2,5,5250.0,41,23,5,3,50,7,54,2,4.08,0
3,2,40,0,6,0,4,8400.0,39,32,29,0,50,3,75,0,2.12,0
3,1,48,4,4,0,1,4950.0,48,6,24,4,75,13,28,1,2.42,0
1,0,57,5,8,0,3,6500.0,49,2,1,0,0,1,21,0,1.96,0
2,1,22,1,1,0,2,7200.0,51,13,16,3,25,6,31,0,1.55,0
8,1,27,3,1,0,3,4550.0,44,22,7,12,0,12,84,2,1.83,0
1,1,49,0,0,1,3,7800.0,47,11,24,5,50,8,19,2,1.93,0
7,1,50,3,7,1,2,4200.0,51,46,28,1,50,12,70,0,1.13,0
8,2,60,0,9,1,4,8400.0,51,18,5,12,100,3,85,2,3.82,0
0,1,60,5,4,3,1,5500.0,58,12,26,7,25,17,9,1,1.57,0
7,1,32,1,2,0,2,7200.0,42,31,22,13,100,14,39,2,2.17,1
8,2,50,1,8,2,2,7200.0,50,49,20,1,50,10,99,1,1.18,0
8,2,54,4,8,1,4,6300.0,50,44,14,11,0,11,17,2,1.49,0
1,1,40,2,8,0,5,6000.0,36,41,9,7,75,13,12,2,4.68,0
8,1,35,6,1,1,1,6050.0,48,0,24,5,100,10,16,1,1.42,0
4,1,52,4,6,1,1,4950.0,38,35,26,12,50,3,95,0,4.26,0
8,2,27,2,9,0,5,6000.0,35,43,10,2,50,10,62,2,3.45,0
5,1,48,0,3,2,4,8400.0,56,45,8,8,25,18,77,1,2.06,0
5,1,54,6,9,0,1,6050.0,33,41,17,5,75,17,80,1,4.66,0
7,2,43,1,3,0,4,8400.0,50,34,2,10,75,10,86,1,1.7,0
7,1,38,6,3,2,5,8250.0,50,42,1,14,100,11,23,0,4.07,0
1,1,43,6,0,1,4,7700.0,41,44,6,7,0,19,70,0,3.16,1
5,2,40,5,9,1,2,6000.0,52,8,16,13,50,3,29,1,4.54,1
7,2,57,4,4,3,5,6750.0,57,30,19,5,0,9,50,2,3.37,0
0,2,23,1,4,1,1,6600.0,54,14,28,13,50,17,26,0,1.12,0
6,1,37,6,1,1,4,7700.0,42,38,6,4,75,9,28,1,4.33,0
3,1,36,1,0,0,5,9000.0,60,47,20,12,75,4,49,0,2.54,1
7,2,33,6,2,2,5,8250.0,41,23,21,5,75,14,60,0,2.07,0
1,2,48,5,5,1,4,7000.0,58,35,5,12,25,10,86,0,2.13,0
6,2,27,5,2,1,5,7500.0,40,43,22,9,75,12,51,1,3.74,0
4,2,58,0,1,1,2,7200.0,32,16,8,8,25,17,88,0,4.11,0
4,1,25,0,8,2,3,7800.0,59,27,19,11,0,19,17,0,2.46,0
7,2,48,1,3,2,1,6600.0,32,3,22,11,0,11,14,1,1.43,1
2,2,47,2,1,0,1,4400.0,60,44,17,12,50,8,8,2,3.23,0
0,1,31,6,2,1,2,6600.0,59,27,22,6,100,1,44,2,1.74,0
3,1,29,4,9,1,1,4950.0,49,26,18,9,25,10,13,2,3.9,0
8,2,32,6,4,0,3,7150.0,48,9,13,10,50,4,30,2,1.94,0
3,2,58,4,4,1,2,5400.0,32,35,19,10,0,1,86,0,4.82,0
8,2,40,0,9,1,1,6600.0,30,15,17,12,0,12,20,1,1.29,0
0,2,23,3,6,1,2,4200.0,33,6,29,11,25,9,45,1,2.44,0
2,2,59,0,3,1,2,7200.0,35,33,19,6,50,17,17,0,2.08,0
0,2,32,3,4,2,5,5250.0,54,6,27,9,25,13,91,2,3.94,1
3,1,36,4,2,0,2,5400.0,40,27,27,0,75,2,92,1,3.22,0
7,2,55,1,0,0,2,7200.0,43,48,21,0,75,7,60,1,1.23,1
5,2,31,4,3,2,5,6750.0,47,46,6,5,100,17,15,0,3.34,0
2,1,50,3,1,2,2,4200.0,51,49,23,2,25,9,39,0,3.52,1
8,1,25,3,2,1,2,4200.0,53,32,22,11,100,12,63,2,4.67,0
5,2,40,5,0,1,4,7000.0,47,2,18,0,50,2,0,2,2.86,0
5,1,53,6,2,2,2,6600.0,30,3,20,8,25,11,90,0,3.39,0
5,1,52,2,7,1,3,5200.0,35,21,14,6,75,2,3,2,4.65,0
6,2,45,3,9,3,5,5250.0,51,46,21,14,75,4,91,2,4.91,0
5,2,42,2,4,1,5,6000.0,30,12,23,2,50,11,24,2,2.3,0
8,2,30,1,5,1,3,7800.0,32,20,0,4,100,4,44,2,2.06,0
5,1,26,5,7,0,2,6000.0,55,22,26,1,0,13,53,2,2.7,0
6,1,23,2,0,1,4,5600.0,48,35,25,9,25,11,59,1,4.69,0
6,1,46,2,5,0,5,6000.0,37,43,19,12,25,17,82,2,3.84,0
6,1,53,4,1,1,4,6300.0,36,43,3,14,75,1,93,2,2.07,0
3,2,37,3,9,2,4,4900.0,51,49,9,0,25,16,42,0,1.24,0
0,2,43,5,4,0,1,5500.0,56,3,19,2,25,7,64,0,2.61,0
1,2,52,1,7,1,1,6600.0,54,35,29,11,100,5,33,0,3.03,1
4,1,27,3,9,0,4,4900.0,49,27,21,2,25,14,14,0,1.3,0
8,1,58,6,4,1,3,7150.0,31,38,9,2,75,17,80,1,4.03,1
4,1,48,4,8,0,2,5400.0,46,16,25,12,0,13,19,1,4.57,0
6,1,29,2,3,1,3,5200.0,43,24,1,11,75,15,33,0,1.47,0
6,2,24,5,6,1,3,6500.0,46,30,29,9,75,5,69,0,4.51,0
0,1,55,0,8,1,3,7800.0,59,18,23,2,75,6,63,1,1.96,0
3,1,47,6,6,0,4,7700.0,41,6,15,1,0,9,87,2,2.82,0
5,1,33,0,9,0,4,8400.0,34,21,22,12,75,7,28,2,3.75,0
1,2,24,6,0,2,5,8250.0,59,48,19,2,75,10,22,2,2.82,0
4,1,48,6,4,1,5,8250.0,46,20,23,14,75,8,25,1,4.27,0
7,2,56,4,1,0,2,5400.0,37,0,11,10,50,2,59,0,1.35,0
8,2,50,3,8,1,3,4550.0,41,12,7,2,75,8,75,0,4.43,0
4,2,46,1,5,1,3,7800.0,35,37,22,7,0,19,99,2,3.43,1
6,2,34,3,9,1,2,4200.0,35,38,29,2,50,14,64,0,3.94,0
2,2,36,6,4,1,2,6600.0,57,28,20,1,0,8,59,2,2.22,0
8,2,29,1,7,1,1,6600.0,44,17,8,3,25,8,77,1,1.26,0
5,1,48,2,0,0,5,6000.0,35,27,28,12,100,8,16,0,4.74,0
5,2,55,2,3,1,1,4400.0,57,17,21,12,100,6,92,0,3.0,0
6,1,29,4,8,1,2,5400.0,41,27,9,8,75,14,86,0,2.03,0
0,1,22,4,7,1,5,6750.0,57,21,0,5,25,1,83,2,1.99,0
3,1,60,4,0,0,1,4950.0,44,11,5,8,25,7,30,0,4.94,0
1,2,44,1,6,0,4,8400.0,30,11,23,13,0,17,19,0,2.69,0
4,2,42,4,5,0,3,5850.0,59,28,28,11,0,1,75,0,1.14,0
8,2,43,0,3,1,5,9000.0,42,14,21,8,100,8,88,1,2.91,0
5,2,27,6,0,1,1,6050.0,55,0,19,10,0,6,80,2,1.11,0
6,2,40,1,4,2,5,9000.0,37,33,27,8,0,10,61,2,2.64,0
6,2,28,5,2,2,3,6500.0,46,33,3,10,50,14,82,2,1.39,0
2,2,42,1,2,0,1,6600.0,55,2,13,8,0,16,89,0,1.93,0
2,2,48,5,7,1,5,7500.0,49,25,22,9,50,11,38,2,3.55,0
6,2,60,3,4,1,2,4200.0,54,3,1,0,75,17,69,1,2.42,0
2,1,53,5,8,0,4,7000.0,44,47,9,8,100,13,75,1,2.76,0
5,1,48,3,2,1,2,4200.0,47,10,17,2,0,18,10,1,4.94,0
1,1,46,1,4,1,5,9000.0,36,47,19,10,100,1,55,2,3.98,0
6,2,24,6,3,0,4,7700.0,52,10,27,2,25,10,70,0,4.19,0
6,2,23,1,0,1,1,6600.0,37,27,13,1,75,18,82,1,3.47,0
2,1,50,6,9,1,2,6600.0,49,17,22,1,100,6,30,1,3.29,0
1,1,33,6,0,1,4,7700.0,52,7,8,0,25,17,6,2,2.04,0
1,1,31,3,4,1,3,4550.0,31,31,9,4,100,18,0,1,4.25,0
0,2,60,4,1,1,4,6300.0,31,33,21,13,25,10,70,1,1.64,0
4,2,33,0,0,0,5,9000.0,31,28,13,13,25,4,14,0,1.34,0
8,2,57,4,2,1,1,4950.0,57,1,11,10,100,12,12,2,2.01,0
5,1,29,3,5,1,4,4900.0,48,27,4,7,0,3,93,0,3.08,0
8,1,59,6,5,1,3,7150.0,49,16,20,0,100,14,35,0,1.83,1
2,1,60,0,4,1,4,8400.0,46,47,26,7,50,17,0,1,2.45,0
7,1,37,3,2,1,3,4550.0,36,45,11,5,75,7,92,2,2.13,0
6,1,42,1,6,0,1,6600.0,30,23,16,3,0,5,70,1,1.17,1
7,2,44,6,0,1,5,8250.0,54,44,11,13,50,2,79,1,1.58,1
0,1,24,1,3,0,2,7200.0,32,11,24,11,100,15,84,0,1.37,0
5,1,34,4,9,0,3,5850.0,56,29,0,12,75,7,46,1,2.54,0
3,1,36,4,0,0,2,5400.0,38,36,6,8,50,10,84,0,1.85,0
0,1,35,0,3,0,5,9000.0,43,3,10,6,75,7,22,1,4.04,0
6,1,28,5,5,1,5,7500.0,50,11,12,5,0,6,32,1,4.89,0
7,1,37,0,6,0,3,7800.0,32,40,29,3,0,15,13,0,1.59,0
1,0,31,4,5,1,5,6750.0,46,31,5,0,25,14,36,1,4.12,0
7,1,49,2,7,0,4,5600.0,40,48,26,13,100,15,63,0,3.46,1
5,1,49,3,7,2,2,4200.0,57,36,22,2,0,12,26,0,3.74,0
4,1,32,4,6,1,5,6750.0,37,21,0,6,50,13,7,2,1.72,0
7,2,29,6,3,2,3,7150.0,49,31,10,9,75,11,31,2,4.91,0
5,1,39,3,5,1,5,5250.0,32,19,17,8,25,10,41,0,2.44,0
3,1,26,3,0,0,4,4900.0,44,6,5,7,100,3,37,2,1.44,0
0,2,42,3,7,1,2,4200.0,35,6,24,6,100,8,96,1,4.42,0
6,2,55,6,9,0,2,6600.0,38,17,28,6,50,6,61,1,2.31,0
3,1,40,4,4,2,2,5400.0,56,5,22,1,0,1,57,1,4.25,0
6,1,57,2,3,0,4,5600.0,47,45,16,5,0,3,63,2,1.54,0
8,1,48,4,0,1,2,5400.0,56,4,24,8,50,6,0,0,1.6,0
7,1,43,2,2,1,4,5600.0,43,26,21,5,50,7,62,0,3.25,0
2,1,32,0,6,1,2,7200.0,49,20,13,4,100,14,28,1,3.42,0
3,1,25,4,6,1,2,5400.0,32,24,5,13,100,13,40,1,3.73,0
7,2,29,0,3,1,5,9000.0,42,2,0,3,0,5,35,1,4.18,0
4,2,23,2,9,0,1,4400.0,56,43,24,0,25,13,41,0,1.88,0
0,1,57,6,7,1,5,8250.0,40,6,25,7,75,12,43,0,3.17,0
4,1,55,6,2,1,1,6050.0,32,20,8,9,25,5,2,0,1.54,0
7,2,54,1,0,1,2,7200.0,55,37,4,0,100,14,74,0,4.37,0
7,1,33,5,9,1,5,7500.0,40,44,20,14,50,12,44,1,4.99,1
6,2,50,3,6,0,2,4200.0,44,13,5,8,50,4,43,1,3.04,0
0,2,36,3,2,1,5,5250.0,33,3,5,11,100,16,3,1,2.81,0
4,1,32,0,7,0,1,6600.0,32,37,10,2,75,10,19,0,3.42,0
8,1,59,6,0,1,4,7700.0,40,43,23,9,75,9,2,1,2.09,1
4,1,50,5,8,1,4,7000.0,59,44,2,11,50,11,37,1,3.47,0
4,1,55,0,4,1,1,6600.0,57,32,29,4,0,18,62,1,4.48,0
1,1,50,2,2,1,1,4400.0,58,11,24,10,25,9,48,0,1.11,0
5,2,57,4,6,1,4,6300.0,48,22,0,6,0,1,19,1,3.18,0
5,1,49,4,1,1,5,6750.0,43,20,5,7,25,11,41,2,3.55,0
7,2,51,4,5,1,4,6300.0,39,0,21,3,0,14,77,1,1.77,1
0,2,57,5,9,0,2,6000.0,31,13,10,6,0,16,97,2,1.32,0
3,1,25,1,1,1,2,7200.0,49,12,2,0,75,10,46,0,4.75,0
7,2,28,4,3,1,4,6300.0,57,3,1,6,50,16,57,0,3.65,0
1,1,39,5,7,1,4,7000.0,37,48,22,3,0,14,82,0,2.31,0
5,2,40,5,3,0,3,6500.0,59,36,24,7,75,13,65,0,4.6,0
3,1,37,1,5,2,5,9000.0,43,40,28,3,75,10,74,2,2.6,0
2,1,28,4,1,1,5,6750.0,35,27,13,14,25,16,83,2,3.6,0
6,1,41,6,1,1,5,8250.0,39,45,12,1,50,5,19,2,4.58,1
8,2,24,1,9,3,5,9000.0,59,34,16,0,50,11,39,1,4.98,0
7,1,26,3,0,1,3,4550.0,45,43,5,0,50,3,32,2,2.27,0
7,1,23,5,7,0,4,7000.0,35,2,20,3,0,5,64,2,1.94,0
4,1,29,3,3,1,5,5250.0,59,37,4,3,50,7,31,2,1.99,0
1,2,40,3,9,0,2,4200.0,48,35,20,7,100,19,11,0,2.35,0
0,1,55,5,9,1,5,7500.0,51,37,9,4,50,7,31,2,2.06,0
5,2,41,0,6,2,3,7800.0,34,33,6,14,25,12,94,2,2.05,0
4,2,33,2,5,1,3,5200.0,60,13,10,0,100,12,47,0,4.33,0
3,2,40,1,0,2,5,9000.0,39,38,0,6,50,15,40,1,4.06,0
6,2,45,3,9,1,2,4200.0,48,20,24,2,100,7,47,0,2.88,0
1,2,57,4,8,1,1,4950.0,45,14,29,3,0,7,33,0,1.1,1
6,1,23,5,5,3,3,6500.0,35,4,2,13,0,16,97,1,4.3,0
6,0,35,6,9,1,2,6600.0,49,17,12,7,100,3,39,0,1.08,0
3,2,56,2,1,1,3,5200.0,42,35,23,3,0,4,79,1,2.15,0
1,1,43,0,5,1,5,9000.0,60,44,24,12,100,17,42,0,1.13,0
1,2,35,4,2,0,3,5850.0,55,27,7,8,75,10,88,0,2.18,0
4,2,37,4,3,1,1,4950.0,49,25,25,7,100,15,16,0,3.28,0
1,1,51,6,7,2,5,8250.0,51,12,15,10,25,14,61,2,3.78,0
0,2,25,4,6,2,3,5850.0,44,25,25,12,0,13,78,0,1.32,0
5,2,55,6,3,1,4,7700.0,54,42,28,0,25,12,25,1,1.5,0
4,2,43,3,8,0,2,4200.0,40,35,4,2,75,12,94,1,4.47,1
6,2,48,2,6,2,5,6000.0,47,3,6,14,25,17,43,1,3.33,1
0,1,39,2,7,1,3,5200.0,43,10,28,6,0,5,14,2,1.71,0
7,1,26,6,0,1,4,7700.0,43,5,29,13,100,13,69,1,1.2,0
2,1,22,4,6,2,3,5850.0,30,3,2,1,100,16,60,1,1.8,0
1,1,52,5,1,1,2,6000.0,56,29,17,13,100,12,64,0,3.82,0
2,2,56,5,8,2,2,6000.0,53,22,29,0,50,13,0,2,3.31,0
3,2,33,5,5,1,1,5500.0,37,4,8,0,25,5,17,0,1.45,0
0,2,54,3,1,0,5,5250.0,35,17,22,12,50,8,55,1,3.6,0
2,2,25,0,1,3,4,8400.0,46,25,8,5,100,1,40,1,2.27,0
1,1,29,4,5,1,4,6300.0,32,8,6,12,25,14,9,0,3.75,0
2,2,33,0,9,1,2,7200.0,51,9,5,11,0,7,58,1,3.54,0
8,2,47,5,7,1,3,6500.0,37,37,3,0,0,2,67,2,2.63,0
7,2,50,2,6,0,3,5200.0,45,4,2,14,100,12,57,0,4.08,1
1,1,38,2,8,1,1,4400.0,33,42,1,9,50,11,24,0,4.72,0
8,1,28,1,8,2,5,9000.0,58,19,19,9,100,10,38,0,3.31,0
0,2,23,4,1,3,5,6750.0,49,35,10,9,50,2,30,0,2.33,1
0,2,43,2,8,1,2,4800.0,41,32,1,3,0,11,1,1,2.98,0
1,2,47,0,8,3,2,7200.0,33,36,10,10,100,19,48,2,3.11,1
2,1,49,4,2,2,1,4950.0,59,20,17,12,0,16,88,1,1.46,0
5,2,30,6,0,1,1,6050.0,51,8,7,0,100,9,38,0,4.96,0
0,1,32,5,6,2,5,7500.0,39,4,28,9,100,1,98,1,3.5,0
7,2,33,0,8,0,3,7800.0,40,47,24,4,100,11,56,0,2.92,0
2,1,44,5,7,2,3,6500.0,60,17,11,1,75,14,11,1,3.67,0
3,1,60,4,3,1,2,5400.0,33,7,7,0,100,13,57,1,3.54,0
8,2,32,4,8,1,5,6750.0,51,8,6,8,50,15,70,0,1.79,0
2,1,42,2,0,1,5,6000.0,48,37,15,1,0,16,12,2,3.99,1
1,1,24,3,3,1,4,4900.0,34,26,5,1,50,8,90,1,4.55,0
8,1,50,6,7,0,1,6050.0,33,43,19,4,0,2,86,0,4.73,0
7,1,31,6,4,0,1,6050.0,53,42,22,11,100,3,18,0,1.71,0
5,1,54,1,2,2,3,7800.0,35,35,18,6,0,13,49,1,3.5,0
3,2,28,2,8,1,1,4400.0,45,10,28,1,25,9,44,2,3.34,0
1,1,22,2,6,1,4,5600.0,58,31,7,7,50,18,40,0,2.21,0
0,2,39,0,4,1,3,7800.0,58,39,27,1,25,6,45,0,1.12,0
5,1,53,1,3,1,3,7800.0,30,29,5,5,100,11,30,0,4.01,0
7,1,47,1,8,1,2,7200.0,51,31,23,1,50,19,17,1,2.13,0
8,2,32,4,4,0,5,6750.0,30,21,16,12,50,9,10,2,2.16,0
5,1,54,5,7,1,3,6500.0,31,1,14,1,50,9,64,0,1.48,0
6,1,47,0,4,3,3,7800.0,54,37,17,5,100,15,86,2,1.77,0
5,1,54,5,4,1,5,7500.0,59,17,15,8,100,11,41,1,2.99,0
1,2,38,3,9,1,3,4550.0,35,17,3,7,100,6,51,1,2.15,0
1,2,60,0,4,3,4,8400.0,60,9,1,12,0,16,47,0,4.2,0
4,1,39,2,1,2,3,5200.0,39,0,21,3,100,12,56,1,1.7,0
5,2,35,3,5,0,4,4900.0,44,38,7,13,75,4,33,2,4.6,0
4,1,24,0,4,2,5,9000.0,37,4,4,1,75,18,11,1,4.83,0
2,2,59,4,2,1,1,4950.0,50,38,27,10,100,12,22,1,1.19,0
6,2,27,2,6,2,1,4400.0,44,47,12,10,25,12,5,0,3.25,1
1,1,31,1,6,1,2,7200.0,60,31,6,3,100,3,82,0,4.28,0
3,2,53,0,3,0,2,7200.0,40,48,0,8,0,19,84,1,3.22,0
5,1,51,0,2,2,4,8400.0,37,7,26,12,75,17,70,2,2.88,0
7,2,24,5,0,1,2,6000.0,39,44,15,13,75,18,91,1,1.01,0
3,1,60,0,5,1,3,7800.0,47,38,2,3,75,19,52,2,1.72,0
5,0,55,1,9,2,3,7800.0,41,18,6,4,0,1,7,1,2.87,1
6,1,59,6,0,0,1,6050.0,49,10,27,14,0,5,45,0,2.29,0
5,0,59,0,2,0,5,9000.0,46,18,18,0,25,5,30,1,3.05,0
0,2,36,3,4,1,3,4550.0,44,26,25,1,0,16,5,2,4.25,0
8,2,40,6,7,1,2,6600.0,30,43,21,12,0,14,44,2,1.87,0
5,1,58,4,2,2,4,6300.0,49,28,29,12,0,17,41,1,3.0,0
2,2,38,5,8,0,1,5500.0,57,2,28,10,50,15,74,1,3.17,0
3,2,56,6,0,1,2,6600.0,38,33,18,12,0,11,15,0,2.22,0
1,2,55,4,9,1,4,6300.0,44,30,27,8,50,6,79,1,3.11,0
6,2,36,1,2,0,1,6600.0,40,14,14,13,100,10,74,1,3.55,0
3,1,33,5,5,1,3,6500.0,54,15,27,10,0,15,73,1,3.9,0
0,1,49,3,2,0,5,5250.0,60,34,17,2,100,13,14,2,3.25,0
5,1,40,1,7,0,5,9000.0,44,8,18,12,25,3,24,0,1.36,0
7,2,55,0,4,1,1,6600.0,46,46,5,11,50,8,88,2,4.05,0
1,2,36,4,6,0,5,6750.0,48,16,19,1,0,17,28,2,2.15,0
4,2,41,2,5,2,4,5600.0,56,25,2,1,25,17,8,1,4.38,1
1,2,56,4,8,2,3,5850.0,44,37,10,1,100,13,33,2,2.7,0
6,1,25,3,3,2,2,4200.0,32,31,15,4,0,6,36,0,4.22,0
4,0,42,4,1,1,2,5400.0,56,4,8,4,0,16,26,2,2.4,0
0,1,26,0,8,1,4,8400.0,46,20,1,4,50,17,19,2,4.33,0
1,2,48,2,2,1,1,4400.0,57,31,8,3,100,17,61,0,4.8,1
2,2,41,0,7,2,1,6600.0,34,13,10,5,75,10,57,2,3.21,0
6,1,39,6,8,0,4,7700.0,38,48,19,12,50,5,87,0,4.32,0
2,1,55,6,4,1,5,8250.0,36,39,18,6,0,14,58,0,3.95,0
1,2,44,1,1,1,3,7800.0,54,36,5,9,0,4,94,2,1.09,0
7,2,26,1,7,2,1,6600.0,52,45,28,2,100,7,21,0,1.27,0
7,1,29,1,2,0,3,7800.0,36,13,11,12,75,12,5,2,2.92,0
6,2,33,3,6,1,5,5250.0,35,18,0,12,0,7,47,1,1.42,0
3,2,53,5,0,1,1,5500.0,39,46,6,9,100,3,78,1,1.39,0
7,1,43,0,8,1,3,7800.0,60,36,19,7,50,17,30,0,3.19,0
8,2,50,5,2,2,3,6500.0,38,25,12,6,75,3,44,0,3.32,0
5,2,37,4,3,0,2,5400.0,37,39,7,9,25,16,42,1,3.48,0
7,2,41,5,0,0,3,6500.0,47,25,15,3,100,3,29,2,2.8,0
6,0,40,5,6,0,3,6500.0,43,18,8,11,0,16,33,0,4.19,0
4,2,55,1,1,2,5,9000.0,47,42,15,13,0,9,49,2,3.6,0
2,2,34,6,3,1,5,8250.0,49,4,17,11,75,6,48,1,2.49,0
4,2,31,1,7,2,2,7200.0,53,15,1,3,75,18,60,2,4.35,0
5,1,57,3,2,1,1,3850.0,32,36,22,14,0,6,60,2,3.24,0
0,1,57,1,6,1,1,6600.0,37,32,9,14,75,18,36,1,1.28,0
0,1,24,4,7,1,2,5400.0,60,41,11,12,0,9,75,1,3.08,0
7,1,25,6,0,2,1,6050.0,32,2,3,1,50,8,12,2,4.75,0
2,1,40,5,7,2,3,6500.0,41,42,0,7,50,8,27,1,4.87,0
7,2,32,2,3,1,2,4800.0,47,10,6,4,50,15,39,0,1.82,0
6,1,49,5,0,1,5,7500.0,34,19,24,10,25,6,9,1,2.85,0
0,2,45,0,6,1,3,7800.0,41,17,20,0,75,16,57,0,2.71,0
5,2,32,1,3,1,4,8400.0,54,4,10,9,0,17,41,2,1.68,0
8,1,60,2,0,0,1,4400.0,44,47,8,4,0,13,7,2,1.48,0
6,2,55,0,7,1,5,9000.0,35,47,21,3,75,6,31,0,3.86,0
5,1,59,0,4,1,4,8400.0,36,8,23,0,0,10,55,2,3.2,1
5,1,46,0,5,0,4,8400.0,36,44,11,14,50,8,68,1,4.06,1
7,1,53,2,0,1,1,4400.0,60,19,1,4,0,4,45,2,3.29,0
